group,kind,has_v1alpha1,has_v1beta1,has_v1,reconciler
accesscontextmanager.cnrm.cloud.google.com,AccessContextManagerAccessLevel,False,True,False,Terraform
accesscontextmanager.cnrm.cloud.google.com,AccessContextManagerAccessPolicy,False,True,False,Terraform
aiplatform.cnrm.cloud.google.com,AIPlatformModel,True,False,False,Direct
alloydb.cnrm.cloud.google.com,AlloyDBBackup,True,True,False,Terraform
alloydb.cnrm.cloud.google.com,AlloyDBCluster,True,True,False,Terraform
alloydb.cnrm.cloud.google.com,AlloyDBInstance,True,True,False,Direct
analytics.cnrm.cloud.google.com,AnalyticsAccount,True,False,False,Direct
apigateway.cnrm.cloud.google.com,APIGatewayAPI,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeEndpointAttachment,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeEnvgroupAttachment,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeEnvgroup,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeEnvironment,False,True,False,DCL
apigee.cnrm.cloud.google.com,ApigeeInstanceAttachment,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeInstance,True,True,False,Direct
apigee.cnrm.cloud.google.com,ApigeeOrganization,False,True,False,DCL
apikeys.cnrm.cloud.google.com,APIKeysKey,True,False,False,Terraform
cloudquota.cnrm.cloud.google.com,APIQuotaAdjusterSettings,True,True,False,Direct
cloudquota.cnrm.cloud.google.com,APIQuotaPreference,False,True,False,Direct
apphub.cnrm.cloud.google.com,AppHubApplication,True,True,False,Direct
apphub.cnrm.cloud.google.com,AppHubDiscoveredService,True,False,False,Direct
apphub.cnrm.cloud.google.com,AppHubDiscoveredWorkload,True,False,False,Direct
artifactregistry.cnrm.cloud.google.com,ArtifactRegistryRepository,False,True,False,Terraform
asset.cnrm.cloud.google.com,AssetFeed,True,True,False,Direct
asset.cnrm.cloud.google.com,AssetSavedQuery,True,True,False,Direct
assuredworkloads.cnrm.cloud.google.com,AssuredWorkloadsWorkload,True,False,False,Direct
backupdr.cnrm.cloud.google.com,BackupDRBackupPlanAssociation,True,True,False,Direct
backupdr.cnrm.cloud.google.com,BackupDRBackupPlan,True,True,False,Direct
backupdr.cnrm.cloud.google.com,BackupDRBackupVault,True,True,False,Direct
backupdr.cnrm.cloud.google.com,BackupDRManagementServer,True,False,False,Direct
batch.cnrm.cloud.google.com,BatchJob,True,False,False,Direct
batch.cnrm.cloud.google.com,BatchTask,True,False,False,Direct
bigquerybiglake.cnrm.cloud.google.com,BigLakeCatalog,True,False,False,Direct
bigquerybiglake.cnrm.cloud.google.com,BigLakeDatabase,True,False,False,Direct
bigquerybiglake.cnrm.cloud.google.com,BigLakeTable,True,True,False,Direct
bigqueryanalyticshub.cnrm.cloud.google.com,BigQueryAnalyticsHubDataExchange,True,True,False,Direct
bigqueryanalyticshub.cnrm.cloud.google.com,BigQueryAnalyticsHubListing,True,True,False,Direct
bigqueryconnection.cnrm.cloud.google.com,BigQueryConnectionConnection,True,True,False,Direct
bigquerydatapolicy.cnrm.cloud.google.com,BigQueryDataPolicy,True,False,False,Direct
bigquery.cnrm.cloud.google.com,BigQueryDataset,False,True,False,Terraform
bigquerydatatransfer.cnrm.cloud.google.com,BigQueryDataTransferConfig,True,True,False,Direct
bigqueryreservation.cnrm.cloud.google.com,BigQueryReservationAssignment,True,True,False,Direct
bigqueryreservation.cnrm.cloud.google.com,BigQueryReservationReservation,True,True,False,Direct
bigquery.cnrm.cloud.google.com,BigQueryTable,False,True,False,Terraform
bigtable.cnrm.cloud.google.com,BigtableAppProfile,False,True,False,Terraform
bigtable.cnrm.cloud.google.com,BigtableAuthorizedView,True,False,False,Direct
bigtable.cnrm.cloud.google.com,BigtableBackup,True,False,False,Direct
bigtable.cnrm.cloud.google.com,BigtableCluster,True,False,False,Direct
bigtable.cnrm.cloud.google.com,BigtableInstance,False,True,False,Terraform
bigtable.cnrm.cloud.google.com,BigtableLogicalView,True,False,False,Direct
bigtable.cnrm.cloud.google.com,BigtableMaterializedView,True,False,False,Direct
bigtable.cnrm.cloud.google.com,BigtableTable,False,True,False,Terraform
billing.cnrm.cloud.google.com,BillingAccount,True,False,False,Direct
certificatemanager.cnrm.cloud.google.com,CertificateManagerCertificateIssuanceConfig,True,False,False,Direct
certificatemanager.cnrm.cloud.google.com,CertificateManagerDNSAuthorization,True,True,False,Direct
cloudbuild.cnrm.cloud.google.com,CloudBuildWorkerPool,True,True,False,Direct
clouddeploy.cnrm.cloud.google.com,CloudDeployDeliveryPipeline,True,True,False,Direct
clouddeploy.cnrm.cloud.google.com,CloudDeployDeployPolicy,True,False,False,Direct
clouddms.cnrm.cloud.google.com,CloudDMSConversionWorkspace,True,False,False,Direct
clouddms.cnrm.cloud.google.com,CloudDMSMigrationJob,True,False,False,Direct
clouddms.cnrm.cloud.google.com,CloudDMSPrivateConnection,True,False,False,Direct
cloudidentity.cnrm.cloud.google.com,CloudIdentityGroup,False,True,False,Direct
cloudidentity.cnrm.cloud.google.com,CloudIdentityMembership,False,True,False,Direct
colab.cnrm.cloud.google.com,ColabRuntime,True,False,False,Direct
colab.cnrm.cloud.google.com,ColabRuntimeTemplate,True,False,False,Direct
composer.cnrm.cloud.google.com,ComposerEnvironment,True,True,False,Direct
compute.cnrm.cloud.google.com,ComputeFirewallPolicyRule,False,True,False,Direct
compute.cnrm.cloud.google.com,ComputeForwardingRule,False,True,False,Terraform
compute.cnrm.cloud.google.com,ComputeInterconnect,True,False,False,Direct
compute.cnrm.cloud.google.com,ComputeNetworkAttachment,True,False,False,Direct
compute.cnrm.cloud.google.com,ComputeNetworkEdgeSecurityService,True,False,False,Direct
compute.cnrm.cloud.google.com,ComputeSubnetwork,False,True,False,Terraform
compute.cnrm.cloud.google.com,ComputeTargetTCPProxy,False,True,False,Terraform
configdelivery.cnrm.cloud.google.com,ConfigDeliveryResourceBundle,True,False,False,Direct
containerattached.cnrm.cloud.google.com,ContainerAttachedCluster,False,True,False,Terraform
datacatalog.cnrm.cloud.google.com,DataCatalogEntry,True,False,False,Direct
datacatalog.cnrm.cloud.google.com,DataCatalogEntryGroup,True,False,False,Direct
datacatalog.cnrm.cloud.google.com,DataCatalogPolicyTag,False,True,False,Terraform
datacatalog.cnrm.cloud.google.com,DataCatalogTag,True,False,False,Direct
datacatalog.cnrm.cloud.google.com,DataCatalogTagTemplate,True,False,False,Direct
datacatalog.cnrm.cloud.google.com,DataCatalogTaxonomy,False,True,False,Terraform
dataflow.cnrm.cloud.google.com,DataflowFlexTemplateJob,False,True,False,Terraform
dataform.cnrm.cloud.google.com,DataformRepository,True,True,False,Direct
dataplex.cnrm.cloud.google.com,DataplexEntryGroup,True,False,False,Direct
dataplex.cnrm.cloud.google.com,DataplexEntryType,True,False,False,Direct
dataplex.cnrm.cloud.google.com,DataplexLake,True,False,False,Direct
dataplex.cnrm.cloud.google.com,DataplexTask,True,False,False,Direct
dataplex.cnrm.cloud.google.com,DataplexZone,True,False,False,Direct
dataproc.cnrm.cloud.google.com,DataprocBatch,True,False,False,Direct
dataproc.cnrm.cloud.google.com,DataprocJob,True,False,False,Direct
dataproc.cnrm.cloud.google.com,DataprocNodeGroup,True,False,False,Direct
datastream.cnrm.cloud.google.com,DatastreamConnectionProfile,True,False,False,Direct
datastream.cnrm.cloud.google.com,DatastreamPrivateConnection,True,False,False,Direct
datastream.cnrm.cloud.google.com,DatastreamRoute,True,False,False,Direct
clouddeploy.cnrm.cloud.google.com,DeployCustomTargetType,True,False,False,Direct
discoveryengine.cnrm.cloud.google.com,DiscoveryEngineDataStore,True,False,False,Direct
discoveryengine.cnrm.cloud.google.com,DiscoveryEngineDataStoreTargetSite,True,False,False,Direct
discoveryengine.cnrm.cloud.google.com,DiscoveryEngineEngine,True,False,False,Direct
documentai.cnrm.cloud.google.com,DocumentAIProcessor,True,False,False,Direct
documentai.cnrm.cloud.google.com,DocumentAIProcessorVersion,True,True,False,Direct
edgecontainer.cnrm.cloud.google.com,EdgeContainerMachine,True,False,False,Direct
essentialcontacts.cnrm.cloud.google.com,EssentialContactsContact,True,True,False,Direct
eventarc.cnrm.cloud.google.com,EventarcChannel,True,False,False,Direct
eventarc.cnrm.cloud.google.com,EventarcGoogleChannelConfig,True,False,False,Direct
firestore.cnrm.cloud.google.com,FirestoreBackupSchedule,True,False,False,Direct
firestore.cnrm.cloud.google.com,FirestoreDatabase,True,True,False,Direct
firestore.cnrm.cloud.google.com,FirestoreDocument,True,False,False,Direct
firestore.cnrm.cloud.google.com,FirestoreField,True,False,False,Direct
firestore.cnrm.cloud.google.com,FirestoreIndex,False,True,False,Terraform
gkebackup.cnrm.cloud.google.com,GKEBackupBackupPlan,True,False,False,Direct
gkebackup.cnrm.cloud.google.com,GKEBackupBackup,True,False,False,Direct
gkebackup.cnrm.cloud.google.com,GKEBackupRestorePlan,True,False,False,Direct
gkebackup.cnrm.cloud.google.com,GKEBackupRestore,True,False,False,Direct
gkehub.cnrm.cloud.google.com,GKEHubFeatureMembership,False,True,False,Direct
iam.cnrm.cloud.google.com,IAMAuditConfig,False,True,False,Direct
iam.cnrm.cloud.google.com,IAMDenyPolicy,True,False,False,Direct
iam.cnrm.cloud.google.com,IAMPartialPolicy,False,True,False,Direct
iam.cnrm.cloud.google.com,IAMPolicy,False,True,False,Direct
iam.cnrm.cloud.google.com,IAMPolicyMember,False,True,False,Direct
iap.cnrm.cloud.google.com,IAPSettings,True,True,False,Direct
kms.cnrm.cloud.google.com,KMSAutokeyConfig,True,True,False,Direct
kms.cnrm.cloud.google.com,KMSImportJob,True,True,False,Direct
kms.cnrm.cloud.google.com,KMSKeyHandle,True,True,False,Direct
kms.cnrm.cloud.google.com,KMSKeyRing,False,True,False,Terraform
logging.cnrm.cloud.google.com,LoggingLink,True,True,False,Direct
logging.cnrm.cloud.google.com,LoggingLogMetric,False,True,False,Direct
managedkafka.cnrm.cloud.google.com,ManagedKafkaCluster,True,True,False,Direct
managedkafka.cnrm.cloud.google.com,ManagedKafkaConsumerGroup,True,False,False,Direct
managedkafka.cnrm.cloud.google.com,ManagedKafkaTopic,True,True,False,Direct
memorystore.cnrm.cloud.google.com,MemorystoreInstance,True,False,False,Direct
metastore.cnrm.cloud.google.com,MetastoreBackup,True,True,False,Direct
metastore.cnrm.cloud.google.com,MetastoreFederation,True,False,False,Direct
metastore.cnrm.cloud.google.com,MetastoreService,True,False,False,Direct
monitoring.cnrm.cloud.google.com,MonitoringDashboard,False,True,False,Direct
monitoring.cnrm.cloud.google.com,MonitoringNotificationChannel,False,True,False,Terraform
netapp.cnrm.cloud.google.com,NetAppBackupPolicy,True,False,False,Direct
netapp.cnrm.cloud.google.com,NetAppBackupVault,True,False,False,Direct
networkconnectivity.cnrm.cloud.google.com,NetworkConnectivityInternalRange,True,False,False,Direct
networkconnectivity.cnrm.cloud.google.com,NetworkConnectivityServiceConnectionPolicy,True,False,False,Direct
networkmanagement.cnrm.cloud.google.com,NetworkManagementConnectivityTest,True,False,False,Direct
networksecurity.cnrm.cloud.google.com,NetworkSecurityAuthorizationPolicy,False,True,False,DCL
networkservices.cnrm.cloud.google.com,NetworkServicesServiceBinding,True,False,False,Direct
notebooks.cnrm.cloud.google.com,NotebookInstance,True,True,False,Direct
notebooks.cnrm.cloud.google.com,NotebooksEnvironment,True,False,False,Direct
orgpolicy.cnrm.cloud.google.com,OrgPolicyCustomConstraint,True,True,False,Direct
orgpolicy.cnrm.cloud.google.com,OrgPolicyPolicy,True,False,False,Direct
parametermanager.cnrm.cloud.google.com,ParameterManagerParameter,True,False,False,Direct
privateca.cnrm.cloud.google.com,PrivateCACAPool,False,True,False,DCL
privilegedaccessmanager.cnrm.cloud.google.com,PrivilegedAccessManagerEntitlement,True,True,False,Direct
pubsub.cnrm.cloud.google.com,PubSubSnapshot,True,True,False,Direct
recaptchaenterprise.cnrm.cloud.google.com,ReCAPTCHAEnterpriseFirewallPolicy,True,False,False,Direct
redis.cnrm.cloud.google.com,RedisCluster,True,True,False,Direct
run.cnrm.cloud.google.com,RunJob,False,True,False,Terraform
secretmanager.cnrm.cloud.google.com,SecretManagerSecret,False,True,False,Terraform
secretmanager.cnrm.cloud.google.com,SecretManagerSecretVersion,False,True,False,Terraform
securesourcemanager.cnrm.cloud.google.com,SecureSourceManagerInstance,True,True,False,Direct
securesourcemanager.cnrm.cloud.google.com,SecureSourceManagerRepository,True,True,False,Direct
serviceusage.cnrm.cloud.google.com,ServiceIdentity,False,True,False,Terraform
servicenetworking.cnrm.cloud.google.com,ServiceNetworkingPeeredDNSDomain,True,False,False,Direct
spanner.cnrm.cloud.google.com,SpannerBackupSchedule,True,True,False,Direct
spanner.cnrm.cloud.google.com,SpannerInstanceConfig,True,False,False,Direct
spanner.cnrm.cloud.google.com,SpannerInstance,False,True,False,Terraform
speech.cnrm.cloud.google.com,SpeechCustomClass,True,True,False,Direct
speech.cnrm.cloud.google.com,SpeechPhraseSet,True,True,False,Direct
speech.cnrm.cloud.google.com,SpeechRecognizer,True,True,False,Direct
sql.cnrm.cloud.google.com,SQLInstance,False,True,False,Direct
storage.cnrm.cloud.google.com,StorageAnywhereCache,True,True,False,Direct
storage.cnrm.cloud.google.com,StorageFolder,True,False,False,Direct
storage.cnrm.cloud.google.com,StorageManagedFolder,True,False,False,Direct
tags.cnrm.cloud.google.com,TagsLocationTagBinding,True,False,False,Terraform
tags.cnrm.cloud.google.com,TagsTagBinding,False,True,False,Terraform
tags.cnrm.cloud.google.com,TagsTagKey,False,True,False,Terraform
tags.cnrm.cloud.google.com,TagsTagValue,False,True,False,Terraform
cloudtasks.cnrm.cloud.google.com,TasksQueue,True,False,False,Direct
tpu.cnrm.cloud.google.com,TPUVirtualMachine,True,False,False,Direct
vertexai.cnrm.cloud.google.com,VertexAIFeaturestore,True,False,False,Direct
vertexai.cnrm.cloud.google.com,VertexAIMetadataStore,True,True,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEngineExternalAccessRule,True,False,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEngineExternalAddress,True,True,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEngineNetworkPeering,True,False,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEngineNetworkPolicy,True,False,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEngineNetwork,True,False,False,Direct
vmwareengine.cnrm.cloud.google.com,VMwareEnginePrivateCloud,True,False,False,Direct
workflowexecutions.cnrm.cloud.google.com,WorkflowsExecution,True,False,False,Direct
workflows.cnrm.cloud.google.com,WorkflowsWorkflow,True,False,False,Direct
workstations.cnrm.cloud.google.com,WorkstationCluster,True,True,False,Direct
workstations.cnrm.cloud.google.com,WorkstationConfig,True,True,False,Direct
workstations.cnrm.cloud.google.com,Workstation,True,True,False,Direct
